Scheme name, 8b4e_1972b_1960_1178_1886_224bpi_12inj_800ns_bs200ns
B1 filled buckets,121,131,141,151,161,171,181,191,201,211,221,231,601,611,621,631,641,651,661,671,721,731,741,751,761,771,781,791,841,851,861,871,881,891,901,911,961,971,981,991,1001,1011,1021,1031,1081,1091,1101,1111,1121,1131,1141,1151,1201,1211,1221,1231,1241,1251,1261,1271,1321,1331,1341,1351,1361,1371,1381,1391,1471,1481,1491,1501,1511,1521,1531,1541,1591,1601,1611,1621,1631,1641,1651,1661,1711,1721,1731,1741,1751,1761,1771,1781,1831,1841,1851,1861,1871,1881,1891,1901,1951,1961,1971,1981,1991,2001,2011,2021,2071,2081,2091,2101,2111,2121,2131,2141,2191,2201,2211,2221,2231,2241,2251,2261,2341,2351,2361,2371,2381,2391,2401,2411,2461,2471,2481,2491,2501,2511,2521,2531,2581,2591,2601,2611,2621,2631,2641,2651,2701,2711,2721,2731,2741,2751,2761,2771,2821,2831,2841,2851,2861,2871,2881,2891,2941,2951,2961,2971,2981,2991,3001,3011,3061,3071,3081,3091,3101,3111,3121,3131,3211,3221,3231,3241,3251,3261,3271,3281,3331,3341,3351,3361,3371,3381,3391,3401,3451,3461,3471,3481,3491,3501,3511,3521,3571,3581,3591,3601,3611,3621,3631,3641,3691,3701,3711,3721,3731,3741,3751,3761,3811,3821,3831,3841,3851,3861,3871,3881,3931,3941,3951,3961,3971,3981,3991,4001,4321,4331,4341,4351,4361,4371,4381,4391,4441,4451,4461,4471,4481,4491,4501,4511,4561,4571,4581,4591,4601,4611,4621,4631,4681,4691,4701,4711,4721,4731,4741,4751,4801,4811,4821,4831,4841,4851,4861,4871,4921,4931,4941,4951,4961,4971,4981,4991,5041,5051,5061,5071,5081,5091,5101,5111,5191,5201,5211,5221,5231,5241,5251,5261,5311,5321,5331,5341,5351,5361,5371,5381,5431,5441,5451,5461,5471,5481,5491,5501,5551,5561,5571,5581,5591,5601,5611,5621,5671,5681,5691,5701,5711,5721,5731,5741,5791,5801,5811,5821,5831,5841,5851,5861,5911,5921,5931,5941,5951,5961,5971,5981,6061,6071,6081,6091,6101,6111,6121,6131,6181,6191,6201,6211,6221,6231,6241,6251,6301,6311,6321,6331,6341,6351,6361,6371,6421,6431,6441,6451,6461,6471,6481,6491,6541,6551,6561,6571,6581,6591,6601,6611,6661,6671,6681,6691,6701,6711,6721,6731,6781,6791,6801,6811,6821,6831,6841,6851,6931,6941,6951,6961,6971,6981,6991,7001,7051,7061,7071,7081,7091,7101,7111,7121,7171,7181,7191,7201,7211,7221,7231,7241,7291,7301,7311,7321,7331,7341,7351,7361,7411,7421,7431,7441,7451,7461,7471,7481,7531,7541,7551,7561,7571,7581,7591,7601,7651,7661,7671,7681,7691,7701,7711,7721,8311,8321,8331,8341,8351,8361,8371,8381,8431,8441,8451,8461,8471,8481,8491,8501,8551,8561,8571,8581,8591,8601,8611,8621,8671,8681,8691,8701,8711,8721,8731,8741,8791,8801,8811,8821,8831,8841,8851,8861,8911,8921,8931,8941,8951,8961,8971,8981,9031,9041,9051,9061,9071,9081,9091,9101,9421,9431,9441,9451,9461,9471,9481,9491,9541,9551,9561,9571,9581,9591,9601,9611,9661,9671,9681,9691,9701,9711,9721,9731,9781,9791,9801,9811,9821,9831,9841,9851,9901,9911,9921,9931,9941,9951,9961,9971,10021,10031,10041,10051,10061,10071,10081,10091,10141,10151,10161,10171,10181,10191,10201,10211,10291,10301,10311,10321,10331,10341,10351,10361,10411,10421,10431,10441,10451,10461,10471,10481,10531,10541,10551,10561,10571,10581,10591,10601,10651,10661,10671,10681,10691,10701,10711,10721,10771,10781,10791,10801,10811,10821,10831,10841,10891,10901,10911,10921,10931,10941,10951,10961,11011,11021,11031,11041,11051,11061,11071,11081,11161,11171,11181,11191,11201,11211,11221,11231,11281,11291,11301,11311,11321,11331,11341,11351,11401,11411,11421,11431,11441,11451,11461,11471,11521,11531,11541,11551,11561,11571,11581,11591,11641,11651,11661,11671,11681,11691,11701,11711,11761,11771,11781,11791,11801,11811,11821,11831,11881,11891,11901,11911,11921,11931,11941,11951,12031,12041,12051,12061,12071,12081,12091,12101,12151,12161,12171,12181,12191,12201,12211,12221,12271,12281,12291,12301,12311,12321,12331,12341,12391,12401,12411,12421,12431,12441,12451,12461,12511,12521,12531,12541,12551,12561,12571,12581,12631,12641,12651,12661,12671,12681,12691,12701,12751,12761,12771,12781,12791,12801,12811,12821,13141,13151,13161,13171,13181,13191,13201,13211,13261,13271,13281,13291,13301,13311,13321,13331,13381,13391,13401,13411,13421,13431,13441,13451,13501,13511,13521,13531,13541,13551,13561,13571,13621,13631,13641,13651,13661,13671,13681,13691,13741,13751,13761,13771,13781,13791,13801,13811,13861,13871,13881,13891,13901,13911,13921,13931,14011,14021,14031,14041,14051,14061,14071,14081,14131,14141,14151,14161,14171,14181,14191,14201,14251,14261,14271,14281,14291,14301,14311,14321,14371,14381,14391,14401,14411,14421,14431,14441,14491,14501,14511,14521,14531,14541,14551,14561,14611,14621,14631,14641,14651,14661,14671,14681,14731,14741,14751,14761,14771,14781,14791,14801,14881,14891,14901,14911,14921,14931,14941,14951,15001,15011,15021,15031,15041,15051,15061,15071,15121,15131,15141,15151,15161,15171,15181,15191,15241,15251,15261,15271,15281,15291,15301,15311,15361,15371,15381,15391,15401,15411,15421,15431,15481,15491,15501,15511,15521,15531,15541,15551,15601,15611,15621,15631,15641,15651,15661,15671,15751,15761,15771,15781,15791,15801,15811,15821,15871,15881,15891,15901,15911,15921,15931,15941,15991,16001,16011,16021,16031,16041,16051,16061,16111,16121,16131,16141,16151,16161,16171,16181,16231,16241,16251,16261,16271,16281,16291,16301,16351,16361,16371,16381,16391,16401,16411,16421,16471,16481,16491,16501,16511,16521,16531,16541,17251,17261,17271,17281,17291,17301,17311,17321,17371,17381,17391,17401,17411,17421,17431,17441,17491,17501,17511,17521,17531,17541,17551,17561,17611,17621,17631,17641,17651,17661,17671,17681,17731,17741,17751,17761,17771,17781,17791,17801,17851,17861,17871,17881,17891,17901,17911,17921,17971,17981,17991,18001,18011,18021,18031,18041,18361,18371,18381,18391,18401,18411,18421,18431,18481,18491,18501,18511,18521,18531,18541,18551,18601,18611,18621,18631,18641,18651,18661,18671,18721,18731,18741,18751,18761,18771,18781,18791,18841,18851,18861,18871,18881,18891,18901,18911,18961,18971,18981,18991,19001,19011,19021,19031,19081,19091,19101,19111,19121,19131,19141,19151,19231,19241,19251,19261,19271,19281,19291,19301,19351,19361,19371,19381,19391,19401,19411,19421,19471,19481,19491,19501,19511,19521,19531,19541,19591,19601,19611,19621,19631,19641,19651,19661,19711,19721,19731,19741,19751,19761,19771,19781,19831,19841,19851,19861,19871,19881,19891,19901,19951,19961,19971,19981,19991,20001,20011,20021,20101,20111,20121,20131,20141,20151,20161,20171,20221,20231,20241,20251,20261,20271,20281,20291,20341,20351,20361,20371,20381,20391,20401,20411,20461,20471,20481,20491,20501,20511,20521,20531,20581,20591,20601,20611,20621,20631,20641,20651,20701,20711,20721,20731,20741,20751,20761,20771,20821,20831,20841,20851,20861,20871,20881,20891,20971,20981,20991,21001,21011,21021,21031,21041,21091,21101,21111,21121,21131,21141,21151,21161,21211,21221,21231,21241,21251,21261,21271,21281,21331,21341,21351,21361,21371,21381,21391,21401,21451,21461,21471,21481,21491,21501,21511,21521,21571,21581,21591,21601,21611,21621,21631,21641,21691,21701,21711,21721,21731,21741,21751,21761,22081,22091,22101,22111,22121,22131,22141,22151,22201,22211,22221,22231,22241,22251,22261,22271,22321,22331,22341,22351,22361,22371,22381,22391,22441,22451,22461,22471,22481,22491,22501,22511,22561,22571,22581,22591,22601,22611,22621,22631,22681,22691,22701,22711,22721,22731,22741,22751,22801,22811,22821,22831,22841,22851,22861,22871,22951,22961,22971,22981,22991,23001,23011,23021,23071,23081,23091,23101,23111,23121,23131,23141,23191,23201,23211,23221,23231,23241,23251,23261,23311,23321,23331,23341,23351,23361,23371,23381,23431,23441,23451,23461,23471,23481,23491,23501,23551,23561,23571,23581,23591,23601,23611,23621,23671,23681,23691,23701,23711,23721,23731,23741,23821,23831,23841,23851,23861,23871,23881,23891,23941,23951,23961,23971,23981,23991,24001,24011,24061,24071,24081,24091,24101,24111,24121,24131,24181,24191,24201,24211,24221,24231,24241,24251,24301,24311,24321,24331,24341,24351,24361,24371,24421,24431,24441,24451,24461,24471,24481,24491,24541,24551,24561,24571,24581,24591,24601,24611,24691,24701,24711,24721,24731,24741,24751,24761,24811,24821,24831,24841,24851,24861,24871,24881,24931,24941,24951,24961,24971,24981,24991,25001,25051,25061,25071,25081,25091,25101,25111,25121,25171,25181,25191,25201,25211,25221,25231,25241,25291,25301,25311,25321,25331,25341,25351,25361,25411,25421,25431,25441,25451,25461,25471,25481,26191,26201,26211,26221,26231,26241,26251,26261,26311,26321,26331,26341,26351,26361,26371,26381,26431,26441,26451,26461,26471,26481,26491,26501,26551,26561,26571,26581,26591,26601,26611,26621,26671,26681,26691,26701,26711,26721,26731,26741,26791,26801,26811,26821,26831,26841,26851,26861,26911,26921,26931,26941,26951,26961,26971,26981,27301,27311,27321,27331,27341,27351,27361,27371,27421,27431,27441,27451,27461,27471,27481,27491,27541,27551,27561,27571,27581,27591,27601,27611,27661,27671,27681,27691,27701,27711,27721,27731,27781,27791,27801,27811,27821,27831,27841,27851,27901,27911,27921,27931,27941,27951,27961,27971,28021,28031,28041,28051,28061,28071,28081,28091,28171,28181,28191,28201,28211,28221,28231,28241,28291,28301,28311,28321,28331,28341,28351,28361,28411,28421,28431,28441,28451,28461,28471,28481,28531,28541,28551,28561,28571,28581,28591,28601,28651,28661,28671,28681,28691,28701,28711,28721,28771,28781,28791,28801,28811,28821,28831,28841,28891,28901,28911,28921,28931,28941,28951,28961,29041,29051,29061,29071,29081,29091,29101,29111,29161,29171,29181,29191,29201,29211,29221,29231,29281,29291,29301,29311,29321,29331,29341,29351,29401,29411,29421,29431,29441,29451,29461,29471,29521,29531,29541,29551,29561,29571,29581,29591,29641,29651,29661,29671,29681,29691,29701,29711,29761,29771,29781,29791,29801,29811,29821,29831,29911,29921,29931,29941,29951,29961,29971,29981,30031,30041,30051,30061,30071,30081,30091,30101,30151,30161,30171,30181,30191,30201,30211,30221,30271,30281,30291,30301,30311,30321,30331,30341,30391,30401,30411,30421,30431,30441,30451,30461,30511,30521,30531,30541,30551,30561,30571,30581,30631,30641,30651,30661,30671,30681,30691,30701,31021,31031,31041,31051,31061,31071,31081,31091,31141,31151,31161,31171,31181,31191,31201,31211,31261,31271,31281,31291,31301,31311,31321,31331,31381,31391,31401,31411,31421,31431,31441,31451,31501,31511,31521,31531,31541,31551,31561,31571,31621,31631,31641,31651,31661,31671,31681,31691,31741,31751,31761,31771,31781,31791,31801,31811,31891,31901,31911,31921,31931,31941,31951,31961,32011,32021,32031,32041,32051,32061,32071,32081,32131,32141,32151,32161,32171,32181,32191,32201,32251,32261,32271,32281,32291,32301,32311,32321,32371,32381,32391,32401,32411,32421,32431,32441,32491,32501,32511,32521,32531,32541,32551,32561,32611,32621,32631,32641,32651,32661,32671,32681,32761,32771,32781,32791,32801,32811,32821,32831,32881,32891,32901,32911,32921,32931,32941,32951,33001,33011,33021,33031,33041,33051,33061,33071,33121,33131,33141,33151,33161,33171,33181,33191,33241,33251,33261,33271,33281,33291,33301,33311,33361,33371,33381,33391,33401,33411,33421,33431,33481,33491,33501,33511,33521,33531,33541,33551,33631,33641,33651,33661,33671,33681,33691,33701,33751,33761,33771,33781,33791,33801,33811,33821,33871,33881,33891,33901,33911,33921,33931,33941,33991,34001,34011,34021,34031,34041,34051,34061,34111,34121,34131,34141,34151,34161,34171,34181,34231,34241,34251,34261,34271,34281,34291,34301,34351,34361,34371,34381,34391,34401,34411,34421
B2 filled buckets,1,11,21,31,41,51,61,71,81,91,101,111,601,611,621,631,641,651,661,671,721,731,741,751,761,771,781,791,841,851,861,871,881,891,901,911,961,971,981,991,1001,1011,1021,1031,1081,1091,1101,1111,1121,1131,1141,1151,1201,1211,1221,1231,1241,1251,1261,1271,1321,1331,1341,1351,1361,1371,1381,1391,1471,1481,1491,1501,1511,1521,1531,1541,1591,1601,1611,1621,1631,1641,1651,1661,1711,1721,1731,1741,1751,1761,1771,1781,1831,1841,1851,1861,1871,1881,1891,1901,1951,1961,1971,1981,1991,2001,2011,2021,2071,2081,2091,2101,2111,2121,2131,2141,2191,2201,2211,2221,2231,2241,2251,2261,2341,2351,2361,2371,2381,2391,2401,2411,2461,2471,2481,2491,2501,2511,2521,2531,2581,2591,2601,2611,2621,2631,2641,2651,2701,2711,2721,2731,2741,2751,2761,2771,2821,2831,2841,2851,2861,2871,2881,2891,2941,2951,2961,2971,2981,2991,3001,3011,3061,3071,3081,3091,3101,3111,3121,3131,3211,3221,3231,3241,3251,3261,3271,3281,3331,3341,3351,3361,3371,3381,3391,3401,3451,3461,3471,3481,3491,3501,3511,3521,3571,3581,3591,3601,3611,3621,3631,3641,3691,3701,3711,3721,3731,3741,3751,3761,3811,3821,3831,3841,3851,3861,3871,3881,3931,3941,3951,3961,3971,3981,3991,4001,4321,4331,4341,4351,4361,4371,4381,4391,4441,4451,4461,4471,4481,4491,4501,4511,4561,4571,4581,4591,4601,4611,4621,4631,4681,4691,4701,4711,4721,4731,4741,4751,4801,4811,4821,4831,4841,4851,4861,4871,4921,4931,4941,4951,4961,4971,4981,4991,5041,5051,5061,5071,5081,5091,5101,5111,5191,5201,5211,5221,5231,5241,5251,5261,5311,5321,5331,5341,5351,5361,5371,5381,5431,5441,5451,5461,5471,5481,5491,5501,5551,5561,5571,5581,5591,5601,5611,5621,5671,5681,5691,5701,5711,5721,5731,5741,5791,5801,5811,5821,5831,5841,5851,5861,5911,5921,5931,5941,5951,5961,5971,5981,6061,6071,6081,6091,6101,6111,6121,6131,6181,6191,6201,6211,6221,6231,6241,6251,6301,6311,6321,6331,6341,6351,6361,6371,6421,6431,6441,6451,6461,6471,6481,6491,6541,6551,6561,6571,6581,6591,6601,6611,6661,6671,6681,6691,6701,6711,6721,6731,6781,6791,6801,6811,6821,6831,6841,6851,6931,6941,6951,6961,6971,6981,6991,7001,7051,7061,7071,7081,7091,7101,7111,7121,7171,7181,7191,7201,7211,7221,7231,7241,7291,7301,7311,7321,7331,7341,7351,7361,7411,7421,7431,7441,7451,7461,7471,7481,7531,7541,7551,7561,7571,7581,7591,7601,7651,7661,7671,7681,7691,7701,7711,7721,8311,8321,8331,8341,8351,8361,8371,8381,8431,8441,8451,8461,8471,8481,8491,8501,8551,8561,8571,8581,8591,8601,8611,8621,8671,8681,8691,8701,8711,8721,8731,8741,8791,8801,8811,8821,8831,8841,8851,8861,8911,8921,8931,8941,8951,8961,8971,8981,9031,9041,9051,9061,9071,9081,9091,9101,9421,9431,9441,9451,9461,9471,9481,9491,9541,9551,9561,9571,9581,9591,9601,9611,9661,9671,9681,9691,9701,9711,9721,9731,9781,9791,9801,9811,9821,9831,9841,9851,9901,9911,9921,9931,9941,9951,9961,9971,10021,10031,10041,10051,10061,10071,10081,10091,10141,10151,10161,10171,10181,10191,10201,10211,10291,10301,10311,10321,10331,10341,10351,10361,10411,10421,10431,10441,10451,10461,10471,10481,10531,10541,10551,10561,10571,10581,10591,10601,10651,10661,10671,10681,10691,10701,10711,10721,10771,10781,10791,10801,10811,10821,10831,10841,10891,10901,10911,10921,10931,10941,10951,10961,11011,11021,11031,11041,11051,11061,11071,11081,11161,11171,11181,11191,11201,11211,11221,11231,11281,11291,11301,11311,11321,11331,11341,11351,11401,11411,11421,11431,11441,11451,11461,11471,11521,11531,11541,11551,11561,11571,11581,11591,11641,11651,11661,11671,11681,11691,11701,11711,11761,11771,11781,11791,11801,11811,11821,11831,11881,11891,11901,11911,11921,11931,11941,11951,12031,12041,12051,12061,12071,12081,12091,12101,12151,12161,12171,12181,12191,12201,12211,12221,12271,12281,12291,12301,12311,12321,12331,12341,12391,12401,12411,12421,12431,12441,12451,12461,12511,12521,12531,12541,12551,12561,12571,12581,12631,12641,12651,12661,12671,12681,12691,12701,12751,12761,12771,12781,12791,12801,12811,12821,13141,13151,13161,13171,13181,13191,13201,13211,13261,13271,13281,13291,13301,13311,13321,13331,13381,13391,13401,13411,13421,13431,13441,13451,13501,13511,13521,13531,13541,13551,13561,13571,13621,13631,13641,13651,13661,13671,13681,13691,13741,13751,13761,13771,13781,13791,13801,13811,13861,13871,13881,13891,13901,13911,13921,13931,14011,14021,14031,14041,14051,14061,14071,14081,14131,14141,14151,14161,14171,14181,14191,14201,14251,14261,14271,14281,14291,14301,14311,14321,14371,14381,14391,14401,14411,14421,14431,14441,14491,14501,14511,14521,14531,14541,14551,14561,14611,14621,14631,14641,14651,14661,14671,14681,14731,14741,14751,14761,14771,14781,14791,14801,14881,14891,14901,14911,14921,14931,14941,14951,15001,15011,15021,15031,15041,15051,15061,15071,15121,15131,15141,15151,15161,15171,15181,15191,15241,15251,15261,15271,15281,15291,15301,15311,15361,15371,15381,15391,15401,15411,15421,15431,15481,15491,15501,15511,15521,15531,15541,15551,15601,15611,15621,15631,15641,15651,15661,15671,15751,15761,15771,15781,15791,15801,15811,15821,15871,15881,15891,15901,15911,15921,15931,15941,15991,16001,16011,16021,16031,16041,16051,16061,16111,16121,16131,16141,16151,16161,16171,16181,16231,16241,16251,16261,16271,16281,16291,16301,16351,16361,16371,16381,16391,16401,16411,16421,16471,16481,16491,16501,16511,16521,16531,16541,17251,17261,17271,17281,17291,17301,17311,17321,17371,17381,17391,17401,17411,17421,17431,17441,17491,17501,17511,17521,17531,17541,17551,17561,17611,17621,17631,17641,17651,17661,17671,17681,17731,17741,17751,17761,17771,17781,17791,17801,17851,17861,17871,17881,17891,17901,17911,17921,17971,17981,17991,18001,18011,18021,18031,18041,18361,18371,18381,18391,18401,18411,18421,18431,18481,18491,18501,18511,18521,18531,18541,18551,18601,18611,18621,18631,18641,18651,18661,18671,18721,18731,18741,18751,18761,18771,18781,18791,18841,18851,18861,18871,18881,18891,18901,18911,18961,18971,18981,18991,19001,19011,19021,19031,19081,19091,19101,19111,19121,19131,19141,19151,19231,19241,19251,19261,19271,19281,19291,19301,19351,19361,19371,19381,19391,19401,19411,19421,19471,19481,19491,19501,19511,19521,19531,19541,19591,19601,19611,19621,19631,19641,19651,19661,19711,19721,19731,19741,19751,19761,19771,19781,19831,19841,19851,19861,19871,19881,19891,19901,19951,19961,19971,19981,19991,20001,20011,20021,20101,20111,20121,20131,20141,20151,20161,20171,20221,20231,20241,20251,20261,20271,20281,20291,20341,20351,20361,20371,20381,20391,20401,20411,20461,20471,20481,20491,20501,20511,20521,20531,20581,20591,20601,20611,20621,20631,20641,20651,20701,20711,20721,20731,20741,20751,20761,20771,20821,20831,20841,20851,20861,20871,20881,20891,20971,20981,20991,21001,21011,21021,21031,21041,21091,21101,21111,21121,21131,21141,21151,21161,21211,21221,21231,21241,21251,21261,21271,21281,21331,21341,21351,21361,21371,21381,21391,21401,21451,21461,21471,21481,21491,21501,21511,21521,21571,21581,21591,21601,21611,21621,21631,21641,21691,21701,21711,21721,21731,21741,21751,21761,22081,22091,22101,22111,22121,22131,22141,22151,22201,22211,22221,22231,22241,22251,22261,22271,22321,22331,22341,22351,22361,22371,22381,22391,22441,22451,22461,22471,22481,22491,22501,22511,22561,22571,22581,22591,22601,22611,22621,22631,22681,22691,22701,22711,22721,22731,22741,22751,22801,22811,22821,22831,22841,22851,22861,22871,22951,22961,22971,22981,22991,23001,23011,23021,23071,23081,23091,23101,23111,23121,23131,23141,23191,23201,23211,23221,23231,23241,23251,23261,23311,23321,23331,23341,23351,23361,23371,23381,23431,23441,23451,23461,23471,23481,23491,23501,23551,23561,23571,23581,23591,23601,23611,23621,23671,23681,23691,23701,23711,23721,23731,23741,23821,23831,23841,23851,23861,23871,23881,23891,23941,23951,23961,23971,23981,23991,24001,24011,24061,24071,24081,24091,24101,24111,24121,24131,24181,24191,24201,24211,24221,24231,24241,24251,24301,24311,24321,24331,24341,24351,24361,24371,24421,24431,24441,24451,24461,24471,24481,24491,24541,24551,24561,24571,24581,24591,24601,24611,24691,24701,24711,24721,24731,24741,24751,24761,24811,24821,24831,24841,24851,24861,24871,24881,24931,24941,24951,24961,24971,24981,24991,25001,25051,25061,25071,25081,25091,25101,25111,25121,25171,25181,25191,25201,25211,25221,25231,25241,25291,25301,25311,25321,25331,25341,25351,25361,25411,25421,25431,25441,25451,25461,25471,25481,26191,26201,26211,26221,26231,26241,26251,26261,26311,26321,26331,26341,26351,26361,26371,26381,26431,26441,26451,26461,26471,26481,26491,26501,26551,26561,26571,26581,26591,26601,26611,26621,26671,26681,26691,26701,26711,26721,26731,26741,26791,26801,26811,26821,26831,26841,26851,26861,26911,26921,26931,26941,26951,26961,26971,26981,27301,27311,27321,27331,27341,27351,27361,27371,27421,27431,27441,27451,27461,27471,27481,27491,27541,27551,27561,27571,27581,27591,27601,27611,27661,27671,27681,27691,27701,27711,27721,27731,27781,27791,27801,27811,27821,27831,27841,27851,27901,27911,27921,27931,27941,27951,27961,27971,28021,28031,28041,28051,28061,28071,28081,28091,28171,28181,28191,28201,28211,28221,28231,28241,28291,28301,28311,28321,28331,28341,28351,28361,28411,28421,28431,28441,28451,28461,28471,28481,28531,28541,28551,28561,28571,28581,28591,28601,28651,28661,28671,28681,28691,28701,28711,28721,28771,28781,28791,28801,28811,28821,28831,28841,28891,28901,28911,28921,28931,28941,28951,28961,29041,29051,29061,29071,29081,29091,29101,29111,29161,29171,29181,29191,29201,29211,29221,29231,29281,29291,29301,29311,29321,29331,29341,29351,29401,29411,29421,29431,29441,29451,29461,29471,29521,29531,29541,29551,29561,29571,29581,29591,29641,29651,29661,29671,29681,29691,29701,29711,29761,29771,29781,29791,29801,29811,29821,29831,29911,29921,29931,29941,29951,29961,29971,29981,30031,30041,30051,30061,30071,30081,30091,30101,30151,30161,30171,30181,30191,30201,30211,30221,30271,30281,30291,30301,30311,30321,30331,30341,30391,30401,30411,30421,30431,30441,30451,30461,30511,30521,30531,30541,30551,30561,30571,30581,30631,30641,30651,30661,30671,30681,30691,30701,31021,31031,31041,31051,31061,31071,31081,31091,31141,31151,31161,31171,31181,31191,31201,31211,31261,31271,31281,31291,31301,31311,31321,31331,31381,31391,31401,31411,31421,31431,31441,31451,31501,31511,31521,31531,31541,31551,31561,31571,31621,31631,31641,31651,31661,31671,31681,31691,31741,31751,31761,31771,31781,31791,31801,31811,31891,31901,31911,31921,31931,31941,31951,31961,32011,32021,32031,32041,32051,32061,32071,32081,32131,32141,32151,32161,32171,32181,32191,32201,32251,32261,32271,32281,32291,32301,32311,32321,32371,32381,32391,32401,32411,32421,32431,32441,32491,32501,32511,32521,32531,32541,32551,32561,32611,32621,32631,32641,32651,32661,32671,32681,32761,32771,32781,32791,32801,32811,32821,32831,32881,32891,32901,32911,32921,32931,32941,32951,33001,33011,33021,33031,33041,33051,33061,33071,33121,33131,33141,33151,33161,33171,33181,33191,33241,33251,33261,33271,33281,33291,33301,33311,33361,33371,33381,33391,33401,33411,33421,33431,33481,33491,33501,33511,33521,33531,33541,33551,33631,33641,33651,33661,33671,33681,33691,33701,33751,33761,33771,33781,33791,33801,33811,33821,33871,33881,33891,33901,33911,33921,33931,33941,33991,34001,34011,34021,34031,34041,34051,34061,34111,34121,34131,34141,34151,34161,34171,34181,34231,34241,34251,34261,34271,34281,34291,34301,34351,34361,34371,34381,34391,34401,34411,34421
B1 injection buckets,121,601,4321,8311,9421,13141,17251,18361,22081,26191,27301,31021
B2 injection buckets,1,601,4321,8311,9421,13141,17251,18361,22081,26191,27301,31021
B1 injection n. bunches,12,224,224,56,224,224,56,224,224,56,224,224
B2 injection n. bunches,12,224,224,56,224,224,56,224,224,56,224,224
N. coll. ATLAS/CMS, 1960
N. coll. LHCb, 1886
N. coll. ALICE, 1178
B1 n. bunches, 1972
